scenarioId	ncbiTaxon	ncbiSpecies	ncbiAccession	pubmedAccession 	modName	experiment	tissue	condition	yield	ec	kegg	rhea	iubmb
s51	4530	Oryza sativa	ABJ16553	17524436	beta-farnesene	seedling	PO|0025034|leaf	PECO|0007407|methyl jasmonate exposure	side	none	none	none	none
s52	4530	Oryza sativa	ACF05531	18433439	beta-sesquiphellandrene	adult	PO|0025034|leaf	PECO|0007115|Spodoptera spp. Exposure	main	4.2.3.123	none	32699	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/123.html
s53	3702	Arabidopsis thaliana	ABO09887	15918888	beta-sesquiphellandrene	adult	PO|0009046|flower	none	side	4.2.3.123	none	32699	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/123.html
s54	4530	Oryza sativa	ABJ16553	17524436	beta-sesquiphellandrene	seedling	PO|0025034|leaf	PECO|0007407|methyl jasmonate exposure	side	4.2.3.123	none	32699	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/123.html
s55	542674	Phyla dulcis	AFR23369	22867794	bicyclogermacrene	young	PO|0025034|leaf	none	main	4.2.3.100	none	31999	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/100.html
s56	3702	Arabidopsis thaliana	ABO09887	15918888	cuparene	adult	PO|0009046|flower	none	side	none	none	none	none
s57	542674	Phyla dulcis	AFR23368	22867794	delta-cadinene	young	PO|0025034|leaf	none	main	none	none	none	none
s58	4232	Helianthus annuus	AAY41422	19580670	delta-cadinene	recombinant	none	none	main	none	none	none	none
s59	3702	Arabidopsis thaliana	ABO09887	15918888	delta-cuprenene	adult	PO|0009046|flower	none	side	none	none	none	none
s60	4580	Zea perennis	ABY79214	18296628	delta-elemene	recombinant	none	none	side	none	none	none	none
s61	76912	Zea mays subsp. parviglumis	ABY79213	18296628	delta-elemene	recombinant	none	none	side	none	none	none	none
s62	4579	Zea mays subsp. mexicana	ABY79212	18296628	delta-elemene	recombinant	none	none	side	none	none	none	none
s63	15945	Zea luxurians	ABY79211	18296628	delta-elemene	recombinant	none	none	side	none	none	none	none
s64	112001	Zea mays subsp. huehuetenangensis	ABY79210	18296628	delta-elemene	recombinant	none	none	side	none	none	none	none
s65	4576	Zea diploperennis	ABY79209	18296628	delta-elemene	recombinant	none	none	side	none	none	none	none
s66	4530	Oryza sativa	ABJ16553	17524436	Eudesma-4(14)	11-dine	recombinant	none	none	side	none	none	none
s67	4530	Oryza sativa	ACF05531	18433439	gamma-bisabolene	adult	PO|0025034|leaf	PECO|0007115|Spodoptera spp. Exposure	main	none	none	none	none
s68	3702	Arabidopsis thaliana	ABO09887	15918888	isobazzanene	adult	PO|0009046|flower	none	side	none	none	none	none
s69	3702	Arabidopsis thaliana	ABO09887	15918888	thujopsene	adult	PO|0009046|flower	none	main	none	none	none	none
s70	4530	Oryza sativa	ACF05531	18433439	zingiberene	adult	PO|0025034|leaf	PECO|0007115|Spodoptera spp. Exposure	main	4.2.3.65	none	28643	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/65.html
s71	3702	Arabidopsis thaliana	ABO09887	15918888	zingiberene	adult	PO|0009046|flower	none	side	4.2.3.65	none	28643	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/65.html
s72	4530	Oryza sativa	ABJ16553	17524436	zingiberene	seedling	PO|0025034|leaf	PECO|0007407|methyl jasmonate exposure	side	4.2.3.65	none	28643	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/65.html
